,Model,pixel_acc,iou_macro,iou_weighted,dice_macro,dice_weighted
0,DeepLabV3+ + TTA,0.8405782125975596,0.21604149284170332,0.7251777338114376,0.27184932607327805,0.7891309210571668
1,DeepLabV3+ + TTA,0.7274894934748949,0.1500434281625966,0.6581478717042601,0.182356807013198,0.6978811868297307
2,DeepLabV3+ + TTA,0.850281517747858,0.18119308281181962,0.7702746305612063,0.23245682156531083,0.8305518504311817
3,DeepLabV3+ + TTA,0.9087404958677686,0.39805215094452023,0.8776580580177855,0.46377217153474454,0.9267653165030771
4,DeepLabV3+ + TTA,0.8796966032758052,0.25133483708154086,0.8065077004832155,0.30486036281084083,0.8608312464025091
5,DeepLabV3+ + TTA,0.8152110192837465,0.1990770436802608,0.6848668317217042,0.2522639029403621,0.7525935534992704
6,DeepLabV3+ + TTA,0.8244738292011019,0.1613292774217313,0.7586678949901379,0.20396312351813506,0.8078558105997088
7,DeepLabV3+ + TTA,0.8629055690072639,0.1764647656886167,0.7876623977221013,0.22413194744065817,0.8436429222234981
8,DeepLabV3+ + TTA,0.7680171277997365,0.12382256688743569,0.6832688434532191,0.15073853883110847,0.7247760253721144
9,DeepLabV3+ + TTA,0.9047140495867768,0.23725250437775752,0.8436164603662071,0.27378237755439355,0.886525306055609
10,DeepLabV3+ + TTA,0.7727054195804196,0.10721861591975772,0.7236559014347355,0.1181620821003923,0.7488048482256284
11,DeepLabV3+ + TTA,0.8028683385579938,0.11634083528160812,0.6960680072273968,0.13189152954682307,0.7472059782258226
12,DeepLabV3+ + TTA,0.7979515297730014,0.10178180323059403,0.7077139335116226,0.1191294558872528,0.7544208101226182
13,DeepLabV3+ + TTA,0.8653104212860311,0.1739938439918499,0.8122870072161985,0.20198716958896035,0.848178150814174
14,DeepLabV3+ + TTA,0.8423992281303602,0.23790121782269083,0.7449732576735933,0.2911365699549961,0.8177145600210225
15,DeepLabV3+ + TTA,0.835904261028228,0.14934140404923799,0.7515771978728497,0.1866535236203177,0.8076875223939388
16,DeepLabV3+ + TTA,0.8430871442808106,0.25815779433171815,0.7254704732456054,0.30918492753818333,0.7903366994858158
17,DeepLabV3+ + TTA,0.8490009869503236,0.11989284760505131,0.7778150892185463,0.1412959193083642,0.843876243859479
18,DeepLabV3+ + TTA,0.8224345898004435,0.1930870503068952,0.7070762233096788,0.23979227692883276,0.7773000024828038
19,DeepLabV3+ + TTA,0.8820330969267139,0.2441876161652185,0.8240099358519685,0.29064282330417235,0.8894023695760127
20,DeepLabV3+ + TTA,0.8795856749311295,0.19079707897248338,0.8362664304763137,0.22634816970525687,0.8679609903637732
21,DeepLabV3+ + TTA,0.8033759820426487,0.1999902206197715,0.6596136280944073,0.24931089828114544,0.7259371998898421
22,DeepLabV3+ + TTA,0.8390124820501491,0.128338276480057,0.7934108586567403,0.15724153805392965,0.8239800172633976
23,DeepLabV3+ + TTA,0.8110755750273823,0.14320053648164555,0.7327555105378786,0.18242726365407322,0.7799627276339458
24,DeepLabV3+ + TTA,0.8539093110279551,0.24512858281369243,0.75418417757303,0.3169040929745599,0.829266632332552
25,DeepLabV3+ + TTA,0.7946421897328789,0.19991638454061092,0.733031593168361,0.2504290223488038,0.7813817722699667
26,DeepLabV3+ + TTA,0.8295845730027548,0.1569921523546494,0.7277005616650619,0.1836898901499245,0.7826847307082548
27,DeepLabV3+ + TTA,0.8210909090909091,0.16514905240105168,0.7383312332825167,0.20556267226234,0.7976010235274416
28,DeepLabV3+ + TTA,0.8495587583148558,0.19272974701618859,0.7958318346398973,0.24505058513336328,0.8545986010017642
29,DeepLabV3+ + TTA,0.8876031042128603,0.254598047303844,0.8205230595570578,0.29646076114755604,0.862833168727539
30,DeepLabV3+ + TTA,0.8199784830554061,0.1342792643417715,0.7359634787589519,0.1613721524072899,0.7837935249973347
31,DeepLabV3+ + TTA,0.7963812886142984,0.10893610166115332,0.7450715187754675,0.12913005501696959,0.7796418518628891
32,DeepLabV3+ + TTA,0.8288698667244555,0.21744409995171357,0.7547056319538017,0.2664695522613626,0.8064315334443831
33,DeepLabV3+ + TTA,0.7469490022172949,0.1279426520140576,0.6705847064533448,0.15855258668766245,0.7150020746845506
34,DeepLabV3+ + TTA,0.8275410935927541,0.14530026002290106,0.7882007676356071,0.18215322469568093,0.8212972452520254
35,DeepLabV3+ + TTA,0.7826323918799647,0.09497733104718832,0.6948635069677106,0.11180941045950431,0.7366516302981772
36,DeepLabV3+ + TTA,0.777779433681073,0.12166452133624617,0.7343288022245315,0.1438272956138661,0.7591531414410598
37,DeepLabV3+ + TTA,0.7983233532934132,0.13621468397315664,0.7197699909867225,0.17195731012877202,0.7633536213789772
38,DeepLabV3+ + TTA,0.836846728151076,0.11198953877790871,0.7840910261119908,0.12130686521613414,0.8133303849929613
39,DeepLabV3+ + TTA,0.8246457300275483,0.1158428056355746,0.7501677456149691,0.14582343712729223,0.7976429194242738
40,DeepLabV3+ + TTA,0.8148561426539765,0.11376331562634304,0.7485643817850308,0.13759659802524662,0.7860985490451152
41,DeepLabV3+ + TTA,0.8063406629471611,0.13707451193773199,0.7573196304812132,0.16342819119472052,0.794482592198146
42,DeepLabV3+ + TTA,0.8222355422355422,0.27596517048933566,0.6888869147343211,0.34929066101628414,0.7616859463287241
43,DeepLabV3+ + TTA,0.85117094287826,0.2388321607143577,0.7681445628212822,0.3032392002754122,0.8227720557412311
44,DeepLabV3+ + TTA,0.7790942068813894,0.13735560622728643,0.7280660811584716,0.17273257567515468,0.7694758723649281
45,DeepLabV3+ + TTA,0.7915173553719008,0.10276959179204649,0.7119719456469091,0.12063293896513759,0.7523898106888965
46,DeepLabV3+ + TTA,0.8224821369682312,0.1868367244140939,0.7645177292876488,0.2299416873676515,0.7995363256214136
47,DeepLabV3+ + TTA,0.7863531144781145,0.15924195101792293,0.7176690686642148,0.20605931179779835,0.7724851460163393
48,DeepLabV3+ + TTA,0.9094384707287934,0.30401496144884915,0.861369634735642,0.36989363869360736,0.9086701786100865
49,DeepLabV3+ + TTA,0.8706531332744925,0.2451819436691669,0.7892794870222082,0.30382609457446325,0.8451402684750557
50,DeepLabV3+ + TTA,0.8112696306126963,0.22138724851561797,0.7254940782104867,0.27447294842027736,0.78445621636151
51,DeepLabV3+ + TTA,0.7561067679249498,0.062245796134800066,0.6960136788039696,0.0656169899466509,0.7249078498465359
52,DeepLabV3+ + TTA,0.8754821606097426,0.3460799531950021,0.7903438522742038,0.4193900794954327,0.8473426920321281
53,DeepLabV3+ + TTA,0.7842324888226527,0.10856208817343038,0.7063645454087256,0.13756214637028313,0.7630301059558916
54,DeepLabV3+ + TTA,0.7671589541625643,0.15135597095692555,0.616260995934676,0.20034676066266377,0.7007744132567729
55,DeepLabV3+ + TTA,0.7685579559162189,0.07611846564597664,0.728760612740752,0.0887088412879794,0.7528097275233965
56,DeepLabV3+ + TTA,0.8541407002891102,0.1701019226921592,0.780897322531185,0.20818257578848123,0.8315593174447218
57,DeepLabV3+ + TTA,0.825132782369146,0.10731888034948299,0.7609443085815738,0.12749289439940378,0.8047801195835026
58,DeepLabV3+ + TTA,0.8220363636363637,0.1287391796468773,0.7543507695180137,0.14929238132894077,0.7917509409530097
59,DeepLabV3+ + TTA,0.8073439861800907,0.16153150691288654,0.7658201494253871,0.18866654845387534,0.791507881611937
60,DeepLabV3+ + TTA,0.819243688373605,0.14513130925264897,0.7614538279518943,0.1815228584369036,0.7915523747572678
61,DeepLabV3+ + TTA,0.7950265467547947,0.1570469817862221,0.6831476468502955,0.2012779157224025,0.7430810402347016
62,DeepLabV3+ + TTA,0.8192322749021314,0.22454450521199734,0.7528883104024497,0.2707610449657761,0.7930566391099774
63,DeepLabV3+ + TTA,0.8461371841155234,0.14861292547750302,0.7636442012045154,0.18767373342860041,0.8126579097456729
64,DeepLabV3+ + TTA,0.7947553297249531,0.15259679438681556,0.7609074468937638,0.180384197722696,0.7962448071426417
65,DeepLabV3+ + TTA,0.783472483667368,0.14550782789292158,0.6796339083747772,0.18971453621803291,0.7589393755683872
66,DeepLabV3+ + TTA,0.8080525792554955,0.13299260186502943,0.7607055559473571,0.15904582778500534,0.8027580689099248
67,DeepLabV3+ + TTA,0.6849792624145276,0.1176513375846668,0.6348635135423437,0.14430426305463603,0.6738786905249915
68,DeepLabV3+ + TTA,0.832467217630854,0.2280372047284578,0.7095361330379922,0.3030274260984096,0.7907487497903081
69,DeepLabV3+ + TTA,0.9195731967562953,0.2290841351057232,0.8708949650183361,0.25972099205704946,0.9106348640957139
70,DeepLabV3+ + TTA,0.9371979629428974,0.26244731502422053,0.8904983775038866,0.29097208783581663,0.9287603444251588
71,DeepLabV3+ + TTA,0.8073101928374655,0.18692831596198237,0.7303065841722859,0.21517489271602716,0.7702212512227112
72,DeepLabV3+ + TTA,0.8231049626701801,0.20517768203560346,0.7365375941628883,0.2597807968640899,0.7861629954228058
73,DeepLabV3+ + TTA,0.7643874958577267,0.14395913652199283,0.6367105150862695,0.18293277982902226,0.697483833309591
74,DeepLabV3+ + TTA,0.8119312638580931,0.1566973300181744,0.7447221008485039,0.19242877272828282,0.8009425371144415
75,DeepLabV3+ + TTA,0.8058814421588144,0.11352143966050483,0.7066124496230208,0.13890287079626498,0.7639482251198165
76,DeepLabV3+ + TTA,0.8521183226785134,0.17987275619326246,0.7564410798208969,0.22584563653322506,0.8177637261716765
77,DeepLabV3+ + TTA,0.7753624153624153,0.1566010574127287,0.7332021874087867,0.18880345575789492,0.7745272818210739
78,DeepLabV3+ + TTA,0.8981401971522454,0.3702004804847479,0.8170317438979815,0.4483004618263945,0.8844714594044153
79,DeepLabV3+ + TTA,0.8691390438682858,0.21146741991977092,0.7835425960485065,0.2650047404331078,0.8525352022781986
80,DeepLabV3+ + TTA,0.822470145239376,0.13583203746713454,0.7613739532860401,0.16865889558003444,0.8047425037201584
81,DeepLabV3+ + TTA,0.8404175084175084,0.1701131229033605,0.737781950784157,0.21450996420222018,0.8145702308746852
82,DeepLabV3+ + TTA,0.8881345368579411,0.17387237929934504,0.8059567796872548,0.19747978522812515,0.8544424459496873
83,DeepLabV3+ + TTA,0.858628912071535,0.2454778589930068,0.7755562496365973,0.28721789021514377,0.8330438871659308
84,DeepLabV3+ + TTA,0.8382435261707989,0.10497364227176961,0.7804505795350406,0.11639030990126924,0.8142917973688731
85,DeepLabV3+ + TTA,0.8190291262135923,0.1057475147587849,0.7769290071432872,0.1264754212867349,0.8004987328367358
86,DeepLabV3+ + TTA,0.8142699724517907,0.2077409085692621,0.689063554693955,0.2846558449453859,0.7762909369925155
87,DeepLabV3+ + TTA,0.7935341581495428,0.15617217937372646,0.7102615164861754,0.17725091679372026,0.7564131516429549
88,DeepLabV3+ + TTA,0.8561130042871277,0.15374319503741612,0.8101163940986434,0.19134324188319882,0.8486786586952604
89,DeepLabV3+ + TTA,0.7955517166918592,0.22051873893588303,0.7175211678208886,0.27760180879177215,0.7948102656021143
90,DeepLabV3+ + TTA,0.7901646903820817,0.12622285840764244,0.6984192925981999,0.15003706976843187,0.7500479122555371
91,DeepLabV3+ + TTA,0.7862694414019715,0.14714571670151258,0.7323817215244603,0.170073555134693,0.7645086081413073
92,DeepLabV3+ + TTA,0.8442263986013986,0.18568164756643696,0.7698530640493344,0.24314607056808277,0.8346630931370954
93,DeepLabV3+ + TTA,0.8521424645487523,0.1927926394414823,0.8118700520975388,0.22736553343292837,0.8480047395624005
94,DeepLabV3+ + TTA,0.7729760995307213,0.15237355796496665,0.7225170109284633,0.1783006025081401,0.7601100960133763
95,DeepLabV3+ + TTA,0.8913658112222705,0.20557737730503697,0.8114729196707843,0.24556093875995946,0.8539431911014927
96,DeepLabV3+ + TTA,0.8417843446875705,0.10915281260483327,0.7300066007391691,0.12323191340891808,0.786716550285277
