,Model,pixel_acc,iou_macro,iou_weighted,dice_macro,dice_weighted
0,DeepLabV3+ + TTA,0.9257205672199627,0.3064854593443286,0.8776284927515094,0.3676701702044465,0.9114660237704577
1,DeepLabV3+ + TTA,0.6929595222295952,0.10583968822050172,0.663839316865582,0.13345631835958682,0.7239003123962516
2,DeepLabV3+ + TTA,0.8869878713697563,0.205678285595359,0.8279346024233609,0.25764137995438974,0.8789335268876131
3,DeepLabV3+ + TTA,0.9036914600550964,0.24283081667562947,0.8793257382574492,0.27903055005354344,0.9281486275776284
4,DeepLabV3+ + TTA,0.9162756952841596,0.2544755059344623,0.8700182287723346,0.29822599116717696,0.9049639523950525
5,DeepLabV3+ + TTA,0.9063823691460056,0.292317455560805,0.8537670167103678,0.3510352366981856,0.8921579148122768
6,DeepLabV3+ + TTA,0.8737851239669422,0.22518619432238768,0.8335527192533085,0.2788330994523188,0.8728530799453683
7,DeepLabV3+ + TTA,0.8622518159806295,0.18226258331295034,0.8147689915716455,0.22409782059951153,0.867198885332696
8,DeepLabV3+ + TTA,0.7909442248572683,0.17578495049294157,0.7343886672664311,0.21899095035161098,0.7732567022617054
9,DeepLabV3+ + TTA,0.9148121212121212,0.1864819904581021,0.8656567493952158,0.2191248802990053,0.9013013075920046
10,DeepLabV3+ + TTA,0.8212062937062937,0.13626211397129398,0.7895821832395241,0.15975269024470112,0.8173913851126777
11,DeepLabV3+ + TTA,0.8462382445141066,0.15816875424962562,0.8111598626309421,0.18996086770588386,0.8541396025488759
12,DeepLabV3+ + TTA,0.8205768176335124,0.1292710762556294,0.7963797162408734,0.1633077372917449,0.8260487260118049
13,DeepLabV3+ + TTA,0.8825543237250554,0.22204372613718004,0.8467779794701569,0.2608876070991781,0.8741052807140981
14,DeepLabV3+ + TTA,0.8902422813036021,0.1713117079774637,0.8273921898813976,0.20517466937555806,0.8740923560957657
15,DeepLabV3+ + TTA,0.8915573682515832,0.18943807415044292,0.8361053242409655,0.23430901615513808,0.873765323202839
16,DeepLabV3+ + TTA,0.8873458088805226,0.2299724432565551,0.8241085890820146,0.28116447264489797,0.8726379332340017
17,DeepLabV3+ + TTA,0.8309003180173264,0.11406995025678841,0.8076330786850301,0.13822897055468195,0.8627910647259024
18,DeepLabV3+ + TTA,0.8945631929046564,0.2707541722612175,0.8277428135965011,0.3276295367023727,0.8711495104326452
19,DeepLabV3+ + TTA,0.9034150010745755,0.2319916050633295,0.863963208291121,0.2650669412431983,0.9197285429527855
20,DeepLabV3+ + TTA,0.8978931129476584,0.19429125887633478,0.8714482427836786,0.22491158186272808,0.8947834462332949
21,DeepLabV3+ + TTA,0.8715757575757576,0.27205686679311414,0.8085127255770818,0.3398090685072395,0.8466567132130505
22,DeepLabV3+ + TTA,0.8424522257815089,0.11199943461491561,0.8118744463199217,0.14294093919805767,0.8407068133935403
23,DeepLabV3+ + TTA,0.8406703176341731,0.19510979899280628,0.8086624671465532,0.23432093250779787,0.836291450973259
24,DeepLabV3+ + TTA,0.8700770416024654,0.21694988028248685,0.81211920363767,0.27828167825461303,0.8619915244857983
25,DeepLabV3+ + TTA,0.8311927008904034,0.22254841975811004,0.7989042105230347,0.26564336848082987,0.8482913040300429
26,DeepLabV3+ + TTA,0.8813906336088154,0.1793658702638166,0.822490863508651,0.2152970064750244,0.8564770649687122
27,DeepLabV3+ + TTA,0.8879338842975206,0.22235841715315957,0.8487364243058056,0.26721607907688394,0.8814354767371275
28,DeepLabV3+ + TTA,0.8911818181818182,0.23040775876417918,0.8457199681034686,0.28504640147352844,0.8977032721811284
29,DeepLabV3+ + TTA,0.8887827050997783,0.27610336090787607,0.8286077186971996,0.3293371079263048,0.8683705441375023
30,DeepLabV3+ + TTA,0.853768692845616,0.1559544533844867,0.8213136215934678,0.19428851777966832,0.8555123975093093
31,DeepLabV3+ + TTA,0.8104876434245366,0.15705362791244984,0.7717997218671564,0.19328215170949403,0.8020234684075823
32,DeepLabV3+ + TTA,0.8531888611983963,0.22845009813685918,0.7982956830621083,0.27454977498037025,0.839579177105228
33,DeepLabV3+ + TTA,0.7679046563192905,0.1718999679600908,0.7387181077343924,0.21521007997626346,0.7662230327395666
34,DeepLabV3+ + TTA,0.8578955607737896,0.21175291396611962,0.8278029608530504,0.24943133903239406,0.8594156510406541
35,DeepLabV3+ + TTA,0.8085966460723742,0.13824460691890905,0.7767245648940884,0.17185129715680278,0.8003625194723122
36,DeepLabV3+ + TTA,0.7830295933574623,0.11831898972355889,0.7608844611287848,0.1344526021725515,0.7756938896535842
37,DeepLabV3+ + TTA,0.8082112139357648,0.1333024606948756,0.7801410848348392,0.16338306065909136,0.8029876605337186
